Loading files
Loading windows...
Cross-validation fold:  0
{'fold': 1, 'epoch': 1, 'batch': 1, 'train_loss': 6.405060665914789, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.399999618530273, 'mixture_weights_1': 0.5981143116950989, 'mixture_weights_2': 0.5981143116950989, 'mixture_weights_3': 0.5981143116950989, 'mixture_weights_4': 0.5981143116950989, 'mixture_weights_5': 0.5981143116950989, 'mixture_means_1': 0.00284501351416111, 'mixture_means_2': 0.003548923647031188, 'mixture_means_3': 0.0019651378970593214, 'mixture_means_4': 0.00342644308693707, 'mixture_means_5': 0.0020350373815745115, 'mixture_scales_1': 1.0406034562038258e-05, 'mixture_scales_2': 8.06980187917361e-06, 'mixture_scales_3': 2.7964642868028022e-05, 'mixture_scales_4': 1.3465578376781195e-05, 'mixture_scales_5': 1.5688025087001733e-05, 'learning_rate': 1}
{'fold': 1, 'epoch': 1, 'batch': 2, 'train_loss': 4.184394601266831, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 8.399999618530273, 'mixture_weights_1': 1.1710623502731323, 'mixture_weights_2': 1.171062707901001, 'mixture_weights_3': 1.17106294631958, 'mixture_weights_4': 1.171062707901001, 'mixture_weights_5': 1.17106294631958, 'mixture_means_1': 0.0015199783956632018, 'mixture_means_2': 0.007440031040459871, 'mixture_means_3': 0.0011737009044736624, 'mixture_means_4': 0.0017556394450366497, 'mixture_means_5': 0.004098322242498398, 'mixture_scales_1': 2.8255295546841808e-05, 'mixture_scales_2': 2.1917099729762413e-05, 'mixture_scales_3': 7.579097291454673e-05, 'mixture_scales_4': 3.6550929507939145e-05, 'mixture_scales_5': 4.257363252690993e-05, 'learning_rate': 0.9}
{'fold': 1, 'epoch': 1, 'batch': 3, 'train_loss': 2.0020787231624126, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 8.768133163452148, 'mixture_weights_1': 1.7780381441116333, 'mixture_weights_2': 1.7333996295928955, 'mixture_weights_3': 1.8685771226882935, 'mixture_weights_4': 1.8687652349472046, 'mixture_weights_5': 1.7597841024398804, 'mixture_means_1': 0.0010900866473093629, 'mixture_means_2': 0.011073768138885498, 'mixture_means_3': 0.0009297048090957105, 'mixture_means_4': 0.0014712552074342966, 'mixture_means_5': 0.00620828615501523, 'mixture_scales_1': 6.917472637724131e-05, 'mixture_scales_2': 4.443177749635652e-05, 'mixture_scales_3': 0.00017013917386066169, 'mixture_scales_4': 7.353715773206204e-05, 'mixture_scales_5': 9.833727381192148e-05, 'learning_rate': 0.81}
{'fold': 1, 'epoch': 1, 'batch': 4, 'train_loss': 1.72826292575337, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.088582038879395, 'mixture_weights_1': 2.409144639968872, 'mixture_weights_2': 2.198058843612671, 'mixture_weights_3': 2.591228723526001, 'mixture_weights_4': 2.5829482078552246, 'mixture_weights_5': 2.2606892585754395, 'mixture_means_1': 0.0009100539609789848, 'mixture_means_2': 0.013990637846291065, 'mixture_means_3': 0.0008293660939671099, 'mixture_means_4': 0.0014044423587620258, 'mixture_means_5': 0.008107403293251991, 'mixture_scales_1': 0.00013492262223735452, 'mixture_scales_2': 8.261148468591273e-05, 'mixture_scales_3': 0.0003350484184920788, 'mixture_scales_4': 0.00013664363359566778, 'mixture_scales_5': 0.00020859682990703732, 'learning_rate': 0.7290000000000001}
{'fold': 1, 'epoch': 1, 'batch': 5, 'train_loss': 1.4745064548915252, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.32935619354248, 'mixture_weights_1': 2.948519229888916, 'mixture_weights_2': 2.565480947494507, 'mixture_weights_3': 3.205531358718872, 'mixture_weights_4': 3.2374627590179443, 'mixture_weights_5': 2.6684083938598633, 'mixture_means_1': 0.0008311436977237463, 'mixture_means_2': 0.016248276457190514, 'mixture_means_3': 0.0007837970624677837, 'mixture_means_4': 0.0014015604974702, 'mixture_means_5': 0.00970599427819252, 'mixture_scales_1': 0.0002448543382342905, 'mixture_scales_2': 0.00013815933198202401, 'mixture_scales_3': 0.0005919419345445931, 'mixture_scales_4': 0.0002533906081225723, 'mixture_scales_5': 0.00040522197377867997, 'learning_rate': 0.6561000000000001}
{'fold': 1, 'epoch': 1, 'batch': 6, 'train_loss': 1.2167187755694613, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.512349128723145, 'mixture_weights_1': 3.396766185760498, 'mixture_weights_2': 2.852527141571045, 'mixture_weights_3': 3.7183918952941895, 'mixture_weights_4': 3.781057119369507, 'mixture_weights_5': 2.998717784881592, 'mixture_means_1': 0.0007906894898042083, 'mixture_means_2': 0.017973480746150017, 'mixture_means_3': 0.0007598098018206656, 'mixture_means_4': 0.0014071948826313019, 'mixture_means_5': 0.011000650934875011, 'mixture_scales_1': 0.00042413800838403404, 'mixture_scales_2': 0.00020280912576708943, 'mixture_scales_3': 0.0009920716984197497, 'mixture_scales_4': 0.0004350000526756048, 'mixture_scales_5': 0.0007290609064511955, 'learning_rate': 0.5904900000000002}
{'fold': 1, 'epoch': 1, 'batch': 7, 'train_loss': 1.074827108066529, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.654107093811035, 'mixture_weights_1': 3.7710282802581787, 'mixture_weights_2': 3.0764431953430176, 'mixture_weights_3': 4.142971515655518, 'mixture_weights_4': 4.223026275634766, 'mixture_weights_5': 3.267659902572632, 'mixture_means_1': 0.0007676298264414072, 'mixture_means_2': 0.019289866089820862, 'mixture_means_3': 0.0007457496831193566, 'mixture_means_4': 0.001413253485225141, 'mixture_means_5': 0.012019536457955837, 'mixture_scales_1': 0.0006932569667696953, 'mixture_scales_2': 0.0002617507125250995, 'mixture_scales_3': 0.0015528658404946327, 'mixture_scales_4': 0.0006786460871808231, 'mixture_scales_5': 0.001222547609359026, 'learning_rate': 0.5314410000000002}
{'fold': 1, 'epoch': 1, 'batch': 8, 'train_loss': 1.0407736434135586, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.764802932739258, 'mixture_weights_1': 4.082643032073975, 'mixture_weights_2': 3.250439405441284, 'mixture_weights_3': 4.490418910980225, 'mixture_weights_4': 4.581592559814453, 'mixture_weights_5': 3.4873154163360596, 'mixture_means_1': 0.0007534325704909861, 'mixture_means_2': 0.02029634639620781, 'mixture_means_3': 0.0007368578808382154, 'mixture_means_4': 0.0014183238381519914, 'mixture_means_5': 0.012806347571313381, 'mixture_scales_1': 0.0010331785306334496, 'mixture_scales_2': 0.00029700464801862836, 'mixture_scales_3': 0.0022433316335082054, 'mixture_scales_4': 0.0009694218751974404, 'mixture_scales_5': 0.0019213134655728936, 'learning_rate': 0.47829690000000014}
{'fold': 1, 'epoch': 1, 'batch': 9, 'train_loss': 1.0535453088814393, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.852169036865234, 'mixture_weights_1': 4.344124794006348, 'mixture_weights_2': 3.3858726024627686, 'mixture_weights_3': 4.7728166580200195, 'mixture_weights_4': 4.875014781951904, 'mixture_weights_5': 3.666159152984619, 'mixture_means_1': 0.0007441503112204373, 'mixture_means_2': 0.021068254485726357, 'mixture_means_3': 0.0007309125503525138, 'mixture_means_4': 0.0014224147889763117, 'mixture_means_5': 0.013420808129012585, 'mixture_scales_1': 0.0014178641140460968, 'mixture_scales_2': 0.00030636906740255654, 'mixture_scales_3': 0.002986463950946927, 'mixture_scales_4': 0.0012874517124146223, 'mixture_scales_5': 0.002775184577330947, 'learning_rate': 0.43046721000000016}
{'fold': 1, 'epoch': 1, 'batch': 10, 'train_loss': 1.0602769805118442, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.921740531921387, 'mixture_weights_1': 4.566872596740723, 'mixture_weights_2': 3.492034912109375, 'mixture_weights_3': 5.001883029937744, 'mixture_weights_4': 5.117730617523193, 'mixture_weights_5': 3.809997320175171, 'mixture_means_1': 0.0007377925794571638, 'mixture_means_2': 0.021658187732100487, 'mixture_means_3': 0.000726766767911613, 'mixture_means_4': 0.0014256334397941828, 'mixture_means_5': 0.013910629786550999, 'mixture_scales_1': 0.0017961165867745876, 'mixture_scales_2': 0.00030037990654818714, 'mixture_scales_3': 0.0037128503900021315, 'mixture_scales_4': 0.0016111425356939435, 'mixture_scales_5': 0.003648903453722596, 'learning_rate': 0.38742048900000015}
{'fold': 1, 'epoch': 1, 'batch': 11, 'train_loss': 1.0775939186569303, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 9.9769287109375, 'mixture_weights_1': 4.756448268890381, 'mixture_weights_2': 3.5762383937835693, 'mixture_weights_3': 5.187782287597656, 'mixture_weights_4': 5.3191962242126465, 'mixture_weights_5': 3.9239258766174316, 'mixture_means_1': 0.0007332784589380026, 'mixture_means_2': 0.022116366773843765, 'mixture_means_3': 0.0007237803656607866, 'mixture_means_4': 0.001428170595318079, 'mixture_means_5': 0.014300618320703506, 'mixture_scales_1': 0.0021295289043337107, 'mixture_scales_2': 0.00028977057081647217, 'mixture_scales_3': 0.0043809497728943825, 'mixture_scales_4': 0.001922030234709382, 'mixture_scales_5': 0.0043888818472623825, 'learning_rate': 0.34867844010000015}
